-11.98,-10.99,-19.12
-12.15,-11.33,-22.33
-12.58,-11.74,-26.67
-13.79,-12.82,-30.56
-15.73,-13.87,-34.54
-58.41,-38.66,-83.58
-59.68,-40.01,-84.75
-60.12,-40.73,-85.19
-60.41,-41.2,-84.73
-60.87,-39.88,-84.22
-59.41,-61.86,-91.65
-91.08,-79.42,-131.32
-92.08,-80.56,-132.5
-92.58,-81.3,-133.54
-93.29,-81.88,-133.96
-68.84,-78,-97.04
-67.95,-76.82,-95.08
-67.29,-75.99,-94.75
-66.38,-74.97,-93.75
-66.12,-74.25,-93.09
-65.56,-71.66,-100.34
-65.95,-72.17,-101.82
-66.42,-72.72,-103.32
-66.51,-73.04,-104.47
-66.68,-73.19,-105.21
